"idx","calories","carb","category","cholesterol","content","fat","img","n_size","name","protein","sat_fat","size","sodium","sugar","trans_fat","where"
"1668","kcal","mg","냉장/냉동식품 > 냉장면류","mg","지하130m의 암반수를 사용하여 가늘고 쫄깃하게 뽑아낸 면발","g","https://ottogi.co.kr/pds/product/2017-05-08_1064557516[9].jpg","","FRESH HANDMADE WHEAT NOODLE","g","g","600g(Serves4)","g","g","g",""
"2221","400kcal","""1,470mg""","라면류 > 오라면","0mg","라면의 본질을 추구하다!오뚜기 오!라면1. 국물과 어울림성을 극대화한 쫄깃한 면발!감자전분을 넣어 부드럽고 쫄깃한 식감에 야채엑기스를 적용하여 국물과 어울림성 UP!2. 진~하게 우려낸 쇠고기 육수!사태와 양지를 푹 우려내어 진~한 쇠고기 육수에 풍부한 양념맛과 감칠맛의 조화!3. 어떤 재료와도 잘 어울리는 맛!다른 부재료들과 특히 잘 어울리도록 개발한 국물맛!","14g","https://ottogi.co.kr/pds/product/2021-12-28_141411388[1].jpg","1회 제공량 1개(90g)함량","오라면 컵","3g","0g","90g","9g","59g","7g","""면:소맥분(밀:호주산,미국산),변성전분,팜유(말레이시아산),정제소금,글루텐,기타 식용유지가공품,난각분말,면류첨가알카리제(산도조절제),양파엑기스,조미마늘엑기스,야채풍미액,비타민B2,녹차풍미유*스프류:설탕,조미육수분말[아미노산원액(탈지대두:인도산),옥수수가루(외국산:호주,브라질,인도 등)],효모추출조미분말,참맛장조림분말,양파시즈닝분말,포도당,진한감칠맛분,정제소금,로스팅양파분말,양지사태조미분말,육수맛조미분,후추분말,기타 식용유지가공품,칠리맛분말,혼합제제(효모추출물,해바라기유),영양강화제,향미증진제,고춧가루,칠리추출물,건미역,계란후레이크"""
"1168","51kcal","10410mg","조미소스/식품 > 시럽","0mg","""1. 참치를 숙성시켜 만든 간장 원액에 다시마엑기스와 표고버섯엑기스 등으로 맛을 내어 깊고 시원한 맛이 배어있습니다.  2. 태평양 다랑어가 24.12% 함유되어 있으며, 자연숙성공법으로 숙성시켜 필수아미노산이 다량(양조간장의 130%) 함유되어 있습니다.  3. 기존 간장보다 맛이 진해 2/3만큼 사용해도 깊은 맛을 낼 수 있습니다.""","0g","https://ottogi.co.kr/pds/product/ganjang.jpg","""Per 100ml, 5 servings (Ottogi Estimate)""","SEAFOOD SOY SAUCE","2g","0g","""500ml, 900ml, 1.8L""","7g","5g","0g",""
"2381","95kcal","100mg","냉장/냉동식품 > 낫또","0mg","100% 제주도산 콩과 감귤을 사용한 낫또입니다.낫또는 삶은 콩을 발효시켜 만든 일본 전통 발효식품으로 미국 건강전문지(헬스)에 소개 된 세계 5대 건강식품입니다.","2.9g","https://ottogi.co.kr/pds/product/2022-04-19_771728590[17].jpg","57G","제주콩으로 만든 생감귤낫또","1g","0g","171G","9g","8g","0.5g","""낫또87%[대두100%(국산:제주도산)],가쓰오조미소스[과당,미향{레몬식초(레몬농축과즙:이스라엘산)},정제수,양조간장(탈지대두:외국산),다시마엑기스,가쓰오부시농축액,가쓰오엑기스,L-글루탐산나트륨(향미증진제),정제소금,맛베이스,글리신,효모추출물,향미증진제,구연산,영양강화제],제주감귤소스5%[온주밀감과피(국산:제주도산),설탕,마루메루밀감(국산:제주도산),온주밀감과즙(국산:제주도산),유자청,과당,유자액,벌꿀,구연산,잔탄검,레이지레몬주스]"""
"1274","kcal","mg","향신료류 > 후추","mg","""Mixed pepper (Black pepper and white pepper) and Himalayan salt are ground together in whole, to preserve the original taste of salt and pepper.""","g","https://ottogi.co.kr/pds/product/2017-05-17_484367826[8].jpg","","COLOR PEPPER SALT","g","g","60g","g","g","g","""HIMALAYAN SALT 60%(PAKISTAN),BLACK PEPPER 30%(IMPORTED:VIETNAM,MALYASIA,INDONESIA),WHITE PEPPER 10%(VIETNAM)"""
"2209","205kcal","830mg","레토르트/간편식 > 3분","25mg","""크래프트 Craft [1.기술 2.공들여 만들다]1981년 시작된 3분 요리의 오랜 역사. 수많은 시간으로 빚어낸 장인(匠人) 정신.오뚜기가 공들여 쌓아온 기술력과 정성으로 짜장 본연에 충실한 맛을 선사합니다.국산 돼지고기와 풍미를 돋우는 파기름, 양파와 양배추로 정성스럽게 만든 고급짜장입니다.크래프트 짜장은 짜장 소스를 한번에 섞지 않고 밥과 함께 떠서 드시면 더욱 맛있게 즐기실 수 있습니다.""","11g","https://ottogi.co.kr/pds/product/2021-03-10_936653330[3].jpg","200g","크래프트 짜장 200g","14g","0g","200g","9g","17g","1.8g","""정제수, 돼지고기(국산), 양파(국산), 춘장{춘장용된장[소맥분(밀:미국산, 호주산)], 카라멜색소Ⅲ, 주정, 정제소금(국산), 복합조미식품}, 양배추(국산), 파, 카놀라유, 변성전분, 설탕, 양파맛분말, 복합양념, 난각분말, L-글루탐산나트륨(향미증진제), 향미증진제, 덱스트린"""
"2278","110kcal","0mg","곡류가공식품 > 누룽지","0mg","""밥알이 살아있는 구수한 코리안씨리얼한 번에 먹을 수 있고, 휴대가 간편한 1인분 포장 크리에이티브 그룹 ‘모빌스그룹’과의 콜라보 제품제품의 기획부터 탄생까지의 전 과정을 유튜브 'MoTV'를 통해 공개(https://youtu.be/InRs7AmB3JM)""","0g","https://ottogi.co.kr/pds/product/2021-04-28_1020195220[10].PNG","1개(30g)당","밥플레이크(스틱)","0g","0g","300g (30gx10)","2g","25g","0g","쌀100%(외국산)"
"2366","340kcal","1530mg","면류 > 국수","0mg","""- 깔끔하고 쫄깃한 면발- 다가수 숙성제면법으로 면발이 쫄깃하면서도 부드러우며, 잘 퍼지지 않습니다.- 조리법 대로 삶아 헹궈드시면 나트륨 함량이 줄어듭니다.""","3g","https://ottogi.co.kr/pds/product/2022-03-21_1009000861[3].png","","옛날 국수 소면","7g","0g","""320G, 500G, 700G, 900G, 1.2KG, 1.5KG, 1.65KG, 2.5KG, 3KG, 10KG""","9g","69g","1g","""밀가루(밀: 호주산, 미국산), 정제소금(국산)"""
"566","305kcal","10mg","곡류가공식품 > 오뚜기밥","0mg","""1. 강황의 주요 성분인 커큐민이 첨가되어 맛과 영양을 동시에 충족시켜줄 수 있습니다.2. 커큐민(10mg/210g 기준)이 들어있는 밥으로써, 노란색을 띄는 즉석밥입니다.3. 강황추출분말을 사용하여 강황 고유의 향과 쓴맛이 나지 않아 취식하는데 거부감이 없습니다.4. 오뚜기 강황밥을 포함한 오뚜기밥 전 제품은 지하 150m 암반수를 사용하여 밥을 짓습니다.""","1g","https://ottogi.co.kr/pds/product/img6_big.jpg","1회 제공량 210g 당 함량","맛있는 오뚜기 강황밥","0g","0g","210g","6g","68g","0g",""
"2416","kcal","mg","농/축/수산식품 > 계란","mg","Cage Free로 자유롭고 행복한 닭이 낳아 건강하고 영양이 풍부한 계란","g","https://ottogi.co.kr/pds/product/2022-08-03_281116838[1].jpg","","동물복지유정란","g","g","780G","g","g","g","국산"
"2370","335kcal","6060mg","분말/건조식품 > 분말짜장","0mg","""*최신기술의 과립형으로 물에 잘 녹아 요리가 더욱 편하고 즐거워졌습니다.1. 오뚜기짜장은 과립 형태로 야채, 고기를 볶아 물을 붓고 끓인 후 짜장을 넣고 저어 끓이기만 하면 정통 중화 소스가 됩니다.2. 오뚜기짜장은 춘장을 볶거나 전분을 따로 준비할 필요가 없어 조리가 쉽고 간편합니다.3. 오뚜기짜장으로 누구나 손쉽게 짜장요리를 할 수 있습니다.4. HACCP 인증""","5g","https://ottogi.co.kr/pds/product/2022-05-09_971489257[7].jpg","100g","오뚜기짜장","34g","0g","""100g(4인분),300g,500g,1kg""","10g","62g","2.1g","""밀가루(밀:미국산/호주산),짜장분23%[춘장(밀:미국산/호주산),카라멜색소,덱스트린],설탕,정제소금(국산),참맛짜장양념분(짜장풍미분,덱스트린,옥수수전분,정제소금,짜장베이스),양파씨즈닝믹스,감자혼합전분,혼합식용유,혼합제제(변성전분,설탕,덱스트린),카라멜색소,로스팅양파분,쌀가루,간장분말,조미양념분,식물성분해단백밀,대두,우유,돼지고기,쇠고기,닭고기 함유이 제품은 토마토,새우,계란,오징어,잣,조개류(굴 포함)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다."""
"63","530kcal","940mg","라면류 > 콕콕콕 짜장볶이","0mg","쫄깃하고 부드러운 면에 로스팅된 양파맛이 살아있는 진한 짜장면입니다.","16g","https://ottogi.co.kr/pds/product/2021-12-30_569024061[5].jpg","1회 제공량 120g 당 함량","콕콕콕 짜장볶이","8g","0g","120g","11g","85g","8g","""*면:소맥분(밀:미국산,호주산),변성전분,팜유(말레이시아산),감자전분(외국산:덴마크,프랑스,독일 등),기타 식용유지가공품,글루텐,난각분말,이스트엑기스,면류첨가알칼리제(산도조절제),비타민B2,녹차풍미유*스프류:참맛간짜장분말,설탕,짜장조미분말,짜장시즈닝분말,로스팅양파분말,포도당,시즈닝분말,정제소금,야채육수분말,유지혼합분말,복합지미분,양파시즈닝오일,향미증진제,건양배추,대두단백,건양파밀,대두,계란,우유,돼지고기,닭고기 함유"""
"1088","825kcal","875mg","냉장/냉동식품 > 만두","0.045mg","1. 8가지 국산 야채 100% 사용2. 100% 국산 돼지고기 사용3. 왕교자 만두(알당 36.0g)","56g","https://ottogi.co.kr/pds/product/2017-07-10_396343806[59].jpg","","옛날 왕교자","8g","0g","""468g, 936g""","31g","494g","20g","""돼지고기(국산),밀가루(밀:미국산,캐나다산,호주산),두부[대두(외국산),응고제,혼합제제(규소수지,유화제,셀룰로오스검)],당면(고구마전분,전분가공품),부추,양배추,양파,대파,대두단백,절임배추,포크맛조미유,난백,곡류가공품,시금치,양조간장,옥배유,설탕,마늘,쇠고기다시,참기름,청주,변성전분,감칠맛베이스,생강,유화유지,정제소금,후추분,L-글루탐산나트륨(향미증진제),쇠고기양념엑기스,향미증진제,대두분"""
"1292","185kcal","mg","냉장/냉동식품 > 냉장스프","30mg","""A harmony of chicken breast, potato, and thick milk cream.""","8g","https://ottogi.co.kr/pds/product/2017-05-17_511941003[7].jpg","","OTTOGI CHICKEN CREAM SOUP","1g","g","600g(200g x 3)","11g","17g","6g","""WATER,CHICKEN BREAST 20%(KOREA),POTATO(USA:POTATO,ACIDITY REGULATOR(POTASSIUM CARBONATE,SODIUM POLYPHOSPHATE)),MILK(KOREA),RICH COOKING CREAM 9%(FRANCE:MILK CREAM,EMULSIFIER,MODIFIED STARCH,PECTIN,CARRAGEENAN),BUTTER ROUX,MIXED FORMULATION(MODIFIED STARCH,DEXTRIN),PROCESSED BUTTER,CHICKEN POWDER,MIXED FORMULATION(MODIFIED STARCH,SUGAR,DEXTRIN),SUGAR,ONION SEASONED POWDER,SALT,BLACK PEPPER POWDER"""
"1123","kcal","mg","냉장/냉동식품 > 만두","mg","1. Korean Vegetables and Korean Pork.\n2. OTTOGI Vermicelli.\n3. Saute Noodle Dumplings (14.5g per dumpling)","g","https://ottogi.co.kr/pds/product/2017-07-10_396343806[47].jpg","","SAUTE NOODLE DUMPLING","g","g","""300g, 540g""","g","g","g",""
"1915","820kcal","35mg","식용유지 > 참기름","'-mg","""-동네 시장 마다 있는 방앗간에서 직접 참깨를 정성껏 볶아 착유한 것처럼  참깨의 깊은 고소함이 가득한 참기름입니다.-참기름 1등 업체인 당사의 노하우와 자부심을 바탕으로 짜 고소함을 강조한  통참깨 참기름입니다.-기존의 참기름 대비하여 참깨를 배전한 후 여과를 1회만 한 참기름으로 고소한 맛과 향이 더 우수하며, 탁한 외관을 갖는 것이 특징입니다.""","91g","https://ottogi.co.kr/pds/product/2018-12-13_117395671[5].jpg","","방앗간 참기름","'-g","0g","200ml","0g","1g 미만g","14g","""참깨 100% (외국산 : 인도, 파키스탄, 에티오피아 등)"""
"2476","365kcal","10mg","면류 > 파스타","0mg","'- 100% 토스카나산 듀럼밀 세몰리나 (공통 문구)- 표면이 거칠어 소스를 잘 흡수하는 브론즈면- 엄격한 원산지 이력관리","1.9g","https://ottogi.co.kr/pds/product/2023-02-09_510870856[1].jpg","","파스타토스카나_유기농_스파게티 500G","1g","0g","500G","12g","76g","0.8g","유기농 듀럼밀 세몰리나 100%"
"1588","kcal","mg","조미소스/식품 > 이금기소스","mg","1. 신선한 굴추출물로 만들어 좋은 품질과 인상적인 향으로 이름이 나 있으며 모든 중화요리에 조미료처럼 사용되어 중화요리의 참맛을 살려줍니다.   2. 한국요리에도 육류를 재우거나 볶을 때 간장 대용으로 사용하면 색다른 맛을 느낄 수 있습니다.   3. 팬더굴소스는 굴추출물 11% 제품으로서 저렴한 가격이 장점입니다.","g","https://ottogi.co.kr/pds/product/2017-05-18_693220011[1].jpg","","PANDA OYSTER SAUCE","g","g","""255g, 510g, 2270g, 20kg""","g","g","g","""WATER,SUGAR,SALT,OYSTER EXTRACT11%(SOLID CONTENT40%/OYSTER,WATER,SALT),L-MONOSODIUM GLUTAMATE(FLAVOR ENHANCER),MODIFIED STARCH,WHEAT FLOUR,CARAMEL POWDER WHEAT,CLAM(OYSTER) 함유"""
"1126","225kcal","5mg","곡류가공식품 > 누룽지","0mg","'- Traditional scorched rice carefully made with 100% Korean Rice.\n- The old taste is preserved by scorching rice on an iron plate.\n- Rich taste and crisp texture is perfect for a snack.\n- Nutrient snack for the busy students and businessmen of today.","0g","https://ottogi.co.kr/pds/product/0472.jpg","Per Serving(1 Pack)(240g)","GUSOOHAN NUROONGJI FOR BOILING (SCORCHED RICE)","0g","0g","""240g, 3kg""","5g","51g","0g","RICE 100%(KOREA)"
"924","365kcal","0mg","곡류가공식품 > 오뚜기쌀","0mg","1. 씻어나온 맛있는 오뚜기 쌀은 쌀 표면에 균열이 생기지 않도록 NTWP공법을 사용하여 쌀 표면의 호분층과 잔류물만을 씻어 마지막 한톨까지 깨끗하게 처리하여 보존기간이 길고 밥맛도 오래 유지됩니다.2. 또한 바로 물만 부어 사용하기 때문에 버려지는 쌀이나 쌀뜨물을 줄일 수 있어 경제적이며 쌀뜨물에 의한 부영양화를 막을 수 있어 환경 친화적인 제품입니다.3. 국내에서 생산되는 쌀 가운데 우수한 품종만을 엄선하여 오뚜기만의 제조 기술로 만든 오뚜기 고유의 맛있는 명품쌀입니다.","2.3g","https://ottogi.co.kr/pds/product/2020-03-10_947108104[19].jpg","100g당","씻어나온 맛있는 오뚜기쌀(명품)","0g","0g","""1kg, 3kg, 5kg, 10Kg""","6g","80g","0g","쌀 100%(국산)"
"1171","395kcal","990mg","조미소스/식품 > 스파게티소스","130mg","""Traditional spaghetti sauce with rich taste of soft cream, natural cheese and black pepper.""","37g","https://ottogi.co.kr/pds/product/2017-06-22_424515697[3].jpg","Per 180g","FRESCO SPAGHETTI SAUCE CARBONARA","6g","0.8g","360g","5g","11g","27g","""WATER,MILK CREAM(ITALY: MILK CREAM 100%),CREAM SAUCE BASE[CHEESE POWDER(DENMARK),WHITE PEPPER POWDER(IMPORTED)],HARD CHEESE(ITALY,CHEESE),WHITE WINE,EGG YOLK,WHEAT FLOUR,SUGAR,MIXED FORMULATION(MODIFIED STARCH,MALTODEXTRIN),SALT,ACIDITY REGULATOR(POTASSIUM CARBONATE,SODIUM POLYPHOSPHATE),GARLIC POWDER,MUSHROOM POWDER"""
"2471","kcal","mg","레토르트/간편식 > 컵밥","mg","""- 집밥처럼 맛있게!- 맛도 편리함도 UP!, 더욱 새로워진 오뚜기 컵밥!- 돼지고기, 해산물, 버섯, 채소를 매콤한 두반장에 볶아 중식 풍미 가득""","g","https://ottogi.co.kr/pds/product/2023-02-02_301781936[38].jpg","","맛있는 오뚜기 컵밥 중화 팔보채덮밥","g","g","310g","g","g","g",""
"1795","kcal","mg","냉장/냉동식품 > 냉장면류","mg","""1. 국내산 새송이 버섯,양파를 넣었습니다   2. 신선한 돈육을 센불로 직접 볶아 넣었습니다.   3. 쫄깃하고 부드러운 다가수 수타 생 중화면 입니다.""","g","https://ottogi.co.kr/pds/product/20130605_011.jpg","","UNI-JJAJANG (FOR 2)","g","g","610g","g","g","g",""
"906","140kcal","1050mg","레토르트/간편식 > 렌지","50mg","""1. 잘 익은 김치에 돼지고기 통살을 넣어 만든 맛있는 김치찜 입니다. 2. 오랜시간 조리할 필요 없이 전자레인지에 1분 30초만 데우면 완성되며, 밥반찬이나 술안주에 모두 잘 어울립니다!""","6g","https://ottogi.co.kr/pds/product/2019-03-29_759764993[3].jpg","1회 제공량(180g)","칼칼한 돼지고기김치찜","4g","0g","180g","14g","7g","2g","""숙성김치[절임배추(배추(국산),정제소금(국산),무(국산)고춧가루(국산),멸치액젓,염장새우], 돼지고기(국산), 정제수, 사골엑기스(뉴질랜드산), 미향, 발효식초, 정제소금, 생강, 변성전분, 돈골농축액, 식물성분해단백, 설탕, 마늘, 고춧가루, 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 대파, 파프리카추출색소, 감칠맛베이스, 영양강화제, 향미증진제, 후추분, 덱스트린"""
"1307","70kcal","350mg","분말/건조식품 > 스프","5mg","""1. Soft and delicious soup made with high quality potato powder and cream.\n2. Prepare hot water, and you are served.""","1g","https://ottogi.co.kr/pds/product/cupsoup041.jpg","Total Content 54gPer Serving(1 Pack)(18g)","CUP POTATO CREAM SOUP","3g","0g","54g","1g","14g","0.6g","""PROCESSED STARCH(DENMARK:POTATO STARCH,DEXTRIN),POTATO POWDER 18.5%(USA),CREAM POWDER 10%[SWEETENED SOFT MILK(MILK:KOREA),WHOLE MILK POWDER(MILK:KOREA),DRIED WHEY,HYDROGENATED COCONUT OIL,CORN SYRUP],DEXTRIN,POTATO POWDER 6%[POTATO(USA)],MILK SUGAR 95,WHEY,SALT,SUGAR,MILK CREAM POWDER,COMPOSITE SEASONING FOOD,VEGETABLE OIL,HYDROLIZED VEGETABLE PROTEIN,CAMEMBERT CHEESE POWDER,CHICKEN STOCK POWDER,CHEDDAR CHEESE POWDER,ONION POWDER,AMINO ACID COMPLEX,YEAST EXTRACT,BEEF STOCK,BLACK PEPPER POWDER,PARSLEY CHIP"""
"468","40kcal","4200mg","조미소스/식품 > 국수장국","0mg","""1. 오뚜기 멸치장국은 8배 농축 제품으로 장국 1(45ml) : 물7(315ml) 비율로 희석하여 드십시오.2. 국/탕/찌개 요리에 멸치육수, 간장 대신 사용하면 좋습니다.3. 1인분 기준 한 큰술 사용하세요.""","0g","https://ottogi.co.kr/pds/product/2022-03-23_149077822[5].png","100ml","멸치장국","5g","0g","360ml","1g","9g","0g","""멸치추출액[멸치(국산),멸치조미분말(멸치:국산),다시마,후추분],정제수,정제소금(국산),멸치엑기스에이[멸치추출농축액(멸치:국산),덱스트린,정제소금(국산),글리신,향미증진제],설탕,멸치추출물(멸치:국산),수산물복합엑기스,양조간장,주정,카라멜색소,영양강화제"""
"1180","55kcal","mg","다류 > 분말","mg","""1. Fully enjoy the rich taste of peach from the natural juice.\n2. 100mg of Vitamin-C included in 1 stick.\n3. Enjoy the natural color of red tea, free from any caramel powder.""","0g","https://ottogi.co.kr/pds/product/20130605_a41.jpg","""Total Content 280g,980g(14g x 20EA,70EA)Per Pack(14g)""","PEACH ICE TEA","12g","g","""14g x 20EA, 14g x 70EA""","0g","14g","g","""SUGAR,DEXTRIN,PEACH JUICE POWDER 2.0%[PEACH(KOREA),SOLID CONTENT 54.5%],MALIC ACID,VITAMIN-C,RED TEA EXTRACT POWDER 0.7%(RED TEA(GERMANY),SOLID CONTENT 95%],CITRIC ACID,FLAVOR(PEACH),SALT(KOREA)\n[CONTAINS PEACH]"""
"1202","55kcal","115mg","냉장/냉동식품 > 조리냉동류","5mg","Premium Korean Meat Ball carefully made with Korean Pork and Korean vegetables.","3g","https://ottogi.co.kr/pds/product/2017-05-18_649318750[7].jpg","Per Serving 3개(30g)","KOREAN MEAT BALL","g","0g","400g","3g","4g","1g",""
"1578","415kcal","820mg","라면류 > 리얼치즈라면","0mg","""1. Enjoy crispy and rich noodles topped with Korean spicy rice cake flavor powder soup.\n2. Contains 20% (138.7mg) of the recommended necessary Calcium consumption of children and adolescents. \n3. Take which ever taste you want, from the variety of tastes provided.\n\nCalcium 138.7mg (20%)""","15g","https://ottogi.co.kr/pds/product/prod_img12_04_04.jpg","Per Serving 90g","PPUSHU PPUSHU SNACK (KOREAN SPICE RICE CAKE FLAVOR)","4g","0g","90g","8g","62g","6g","""*NOODLE:WHEAT FLOUR(WHEAT:USA,AUSTRALIA),PALM OIL(MALYASIA),HIGH OLEIC SUNFLOWER OIL(IMPORTED:ARGENTINA,SPAIN,FRANCE),CORN FLOUR,SALT,CALCIUM(EGG SHELL),SUGAR,ACIDITY REGULATOR(POTASSIUM CARBONATE,SODIUM POLYPHOSPHATE)(ACIDITY REGULATOR(POTASSIUM CARBONATE,SODIUM POLYPHOSPHATE)),GLUCOSYL STEVIA,RIBOFLAVIN,GREEN TEA FLAVORED OIL.\n*SOUP:RED PEPPER TASTE POWDER-1,RED PEPPER TASTE POWDER,SUGAR,SALT,GARLIC POWDER,GLUCOSE,CHILI EXTRACT,GLUCOSYL STEVIA,MIXED FORMULATION(NUTRIENT)\n[CONTAINS WHEAT,SOYBEAN,EGG,MILK,TOMATO]\n- This product is produced in manufacturing facilities producing products containing beef, pork, chicken, buckwheat, squid, shrimp, crab, mackerel, peanut, shellfish (including oysters and mussels)."""
"1370","185kcal","mg","레토르트/간편식 > 3분","mg","""Plenty of Chicken with soft taste, traditional India Curry\n※ MAKHANI means ‘with butter’ in hindi, and 3 MINTUES INDIA CURRY HAKHANI includes butter, cream, tomato, and spices providing a soft and colorful scent.""","8g","https://ottogi.co.kr/pds/product/cu_l1.jpg","Per Serving 200g","3 MINUTES INDIA CURRY MAKHANI","8g","0g","200g","12g","16g","5g","""WATER,CHICKEN(KOREA),DICED TOMATO(USA:TOMATO,TOMATO JUICE,CITRIC ACID,CALCIUM CHLORIDE),ONION PUREE(CHINA),MIXED JUICE SAUCE,MILK CREAM,POTATO,RICH COOKING CREAM,RICH BUTTER 3%,TROPICAL FRUIT PUREE,MIXED FORMULATION(MODIFIED STARCH,SUGAR,DEXTRIN),BEEF EXTRACT,CHEDDAR CHEESE POWDER,CURRY POWDER 1.1%,GARLIC,SALT,SUGAR,GINGER,SPICE,SPICY SEASONING \n[CONTAINS MILK,SOYBEAN,WHEAT,TOMATO,CHICKEN,BEEF]"""
"1182","320kcal","470mg","라면류 > LL면","0mg","'- Enjoy your spaghetti in a more easier and convenient fashion.","1.7g","https://ottogi.co.kr/pds/product/0619_061.jpg","Per Serving(1 Pack)(180g)","FRESCO SPAGHETTI","0g","0g","180g","11g","65g","0g","""INGREDIENT : WHEAT FLOUR(WHEAT:USA,CANADA),MODIFIED STARCH,SALT(KOREA),EGG WHITE POWDER(EGG),ACIDITY REGULATOR[POTASIUM CARBONATE(ANHYDRIDE),SODIUM CARBONATE,SODIUM PYROPHOSPHATE],WHEAT GLUTEN,GARDENIA YELLOW(GARDENIA YELLOW,DEXTRIN),CORN OIL,MIXED FORMULATION(ACIDITY REGULATOR,WATER)"""
"797","260kcal","0mg","농/축/수산식품 > 쨈류","0mg","1. 신선한 과실을 사용하여 진한 딸기의 맛과 향이 그대로 살아있습니다. 2. 과일 알갱이가 살아있는 프리저브 형태로 아삭이는 식감이 좋을 뿐만 아니라 과일의 원형을 살리기 위해서 보다 좋은 신선한 원료만을 사용합니다.3. 합성착색료와 보존료가 들어 있지 않는 제품입니다.","0g","https://ottogi.co.kr/pds/product/2020-03-23_937722718.jpg","100g 기준","딸기쨈","52g","0g","""120g, 300g, 500g, 850g""","1미만g","64g","0g","""딸기50%(국산),설탕,아미드펙틴,구연산"""
"207","30kcal","400mg","분말/건조식품 > 밥친구","5mg","""단백질이 풍부한 부드러운 국산 닭가슴살에 달콤한 간장소스로 맛을 내고, 국산 계란, 브로콜리 등을 첨가한 제품입니다.""","0.6g","https://ottogi.co.kr/pds/product/img_big0127_21.jpg","1회제공량 8g 당 함량","밥친구 부드러운 닭가슴살","1g","0g","24g * 생물기준 원재료 함유율 : 닭가슴살 29.9%","2g","4g","0g",""
"1134","kcal","mg","다류 > 액상","mg","Texture of jujube is preserved providing visual amusement along with the deep and rich taste of jujube.","g","https://ottogi.co.kr/pds/product/tea_l_img011.jpg","Per Serving(2-3 Teaspoons)(20g)","HONEY JUJUBE TEA","g","g","""1kg, 500g""","g","g","g",""
"1245","900kcal","0mg","식용유지 > 식용유","0mg","""Premium edible oil enjoyed by the human race for over 7,000 years. Olives harvested from the Mediterranean area are compressed and filtered to become a premium extra virgin traditional olive oil from Spain. Includes 70% or more oleic acid to reduce the LDL cholesterol level.""","100g","https://ottogi.co.kr/pds/product/2017-05-18_693220044[11].jpg","Per 100g","OLIVE OIL","0g","0g","""0.5L, 0.9L""","0g","0g","15g","VIRGIN OLIVE OIL100%(SPAIN)"
"1818","260kcal","660mg","냉장/냉동식품 > 냉장드레싱","20mg","""1) 토마토, 오이피클, 열대과일등을 듬뿍 갈아 넣어 과육이 풍부한 드레싱입니다.     2) 양상추샐러드, 과일샐러드 기타 야채샐러드에 잘어울립니다.       3)오뚜기에서 직접 생산하여 믿고 드실수있습니다. 합성 착향료와 합성착색료를 넣지않았습니다.""","18g","https://ottogi.co.kr/pds/product/to1.jpg","Total Content 250gPer 100g/260kcal","ISLAND DRESSING EXTRA TOMATO","13g","0g","250g","1g","23g","3g","""DICED TOMATO25%(USA:TOMATO,TOMATO JUICE,CITRIC ACID,CALCIUM CHLORIDE),VEGETABLE OIL(SOYBEAN:IMPORTED),WATER,SUGAR,SWEET RELISH(USA:피클,FRUCTOSE,SUGAR,VINEGAR,CORN SYRUP),ONION,FERMENTED VINEGAR,HIGH FRUCTOSE CORN SYRUP,TOMATO PASTE3%(CHINA),PIMENTO,SLICED OLIVE,TROPICAL CONCENTRATE,EGG YOLK,SALT,LEMON CONCENTRATE,MUSTARD PASTE,ONION POWDER,LACTIC ACID,XANTHAN GUM,SEASONING OIL,D-TOCOPHEROL(MIXTURE),바실,WHITE PEPPER POWDER"""
"608","kcal","mg","향신료류 > 강황","mg","""1. 1회 분량당 10mg의 세사민을 함유하고 있습니다.2. 세사민 외에도 발아현미분말, 건조효모분말, 구기자추출분말, 마늘추출분말, 산사자 추출분말, 오미자 추출분말 및 비타민 C를 함유하고 있습니다.3. 휴대 및 보관이 편리합니다.""","g","https://ottogi.co.kr/pds/product/img_big07.jpg","","백세세사민환","g","g","38.4g","g","g","g",""
"195","kcal","mg","향신료류 > 와사비","mg","""생와사비를 그대로 갈아 넣어 와사비 특유의 톡 쏘는 매운 맛과방금 갈은 듯한 신선함이 살아 있습니다.와사비를 잘 개어 화사비 특유의 매운맛과 향이 살아있으며,튜브에 들어 있어 사용이 편리합니다.""","g","https://ottogi.co.kr/pds/product/2018-02-14_403131629[7].jpg","100 g 당 함량","생와사비","g","g","""43g, 480g""","g","g","g","""생와사비40%(생와사비100%:중국산), D-소비톨액, 옥수수유[옥수수배아:외국산(헝가리,세르비아,러시아 등)], 정제수, 겨자분(겨자:캐나다산), 정제소금, 오랜지식이섬유, 비타민C, 향미유, 치자청색소, 심황색소"""
