"idx","calories","carb","category","cholesterol","content","fat","img","n_size","name","protein","sat_fat","size","sodium","sugar","trans_fat","where"
"1637","68kcal","7610mg","조미소스/식품 > 이금기소스","0mg","'- 전통 발효 노하우로 만든 100% 양조간장 (6개월 숙성발효)  - NON-GMO 콩 사용(농장에서 부터 직접 관리한 우량 콩 사용)  - 총 질소함량(T.N) 1.5% 이상 특급 품질 간장  - 200여 항목의 정기 점검과 900여 항목의 품질 및 안전검사를 통과한 믿을 수 있는 제품  - 순수한 고활력 누룩을 사용하여 색이 진하고 아로마향이 풍부  - 최첨단 누룩 제조기술 사용(일정하게 우수한 품질)","0g","https://ottogi.co.kr/pds/product/2017-05-18_693220011[15].jpg","","PANDA FERMENTED SOY SAUCE","2g","0g","""1.7L, 12.6L""","10g","7g","0g","""WATER,DEFATTED SOYBEAN,SALT,WHEAT FLOUR SOYBEAN,WHEAT 함유"""
"2361","285kcal","450mg","조미소스/식품 > 시럽","10mg","생카라멜의 달콤함과 소금의 짭쪼름함이 조화된 단짠의 맛이 특징인 시럽입니다.","2g","https://ottogi.co.kr/pds/product/2023-04-13_891813617[15].jpg","100g 당","솔티드카라멜시럽","49g","g","220g","1g","66g","1g","""물엿,기타과당,올리고당,가당연유[원유(국산),설탕,유당(미국산)],생카라멜시럽12%,정제수,백설탕,변서전분,정제소금0.83%(국산),산도조절제,합성향료(카라멜향),산화방지제,잔탄검,슈가시럽"""
"1645","kcal","mg","레토르트/간편식 > 컵밥","mg","""- Upgrade in Taste, Upgrade in Convenience! The new and improved OTTOGI Delicious Cooked Rice!\n- OTTOGI loved for our OTTOGI Cooked Rice and 3 minute dishes now provides a reliable and tasty new product.\n- The original taste of each menu is enriched and now you can enjoy larger particles.""","g","https://ottogi.co.kr/pds/product/2017-05-18_693220035[12].jpg","","OTTOGI DELICIOUS COOKED RICE WITH JINJJAMBBONG SOUP","g","g","187.5g","g","g","g",""
"1099","85kcal","80mg","농/축/수산식품 > 계란","210mg","1. 오뚜기 맛있는 계란은 건강한 닭이 낳은 계란으로 엄격한 품질관리 및 위생관리를 통해 선별된 신선하고 맛있는 계란입니다.     2. 철저한 검란과정을 거쳐 계란표면의 오염물질을 깨끗이 제거한 위생적인 계란입니다.","7g","https://ottogi.co.kr/pds/product/2017-05-19_808148821[3].jpg","Per Serving 60g","EGG (10/15/30)","0g","0g","""Standard Size (1,800g) or above""","4g","1g","2.4g",""
"2111","kcal","mg","농/축/수산식품 > 농/축/수산식품","mg","""멕시코의 매콤함과 피클의 아삭함을 그대로파스타, 피자 등 어떤 제품에도 잘 어울려요~리조또, 부리또, 크로크무슈 등에도 사용해 보세요~""","g","https://ottogi.co.kr/pds/product/2020-03-26_505435103[19].png","","슬라이스 할라피뇨 피클","g","g","210G","g","g","g","""할라피뇨 고추54.7%, 정제수, 식초(사탕수수),정제소금, 마늘, 염화칼슘"""
"786","900kcal","0mg","식용유지 > 식용유","0mg","""오뚜기가 프레스코 해바라기유를 출시 하였습니다.  리놀레산이 함유되어 더욱 건강한 웰빙 식용유 입니다. 1)100%해바라기 씨앗으로 만들어 맑고 투명하여, 음식 본연의 맛을 살려주는 건강웰빙유 입니다. 2) 해바라기유는 고온에서도 잘 견디어 각종 튀김, 볶음, 부침 등 다양한 요리에 사용할 수 있습니다.3) 리놀레산이 50G 이상 함유되어 있는 웰빙 식용유 입니다.""","100g","https://ottogi.co.kr/pds/product/2023-04-10_464207926[6].jpg","100g당 함량","프레스코 해바라기유","0g","0g","""0.5L,0.9L""","0g","0g","12g","""해바라기유100%(외국산:우크라이나, 말레이시아, 스페인 등)"""
"2409","330kcal","15mg","곡류가공식품 > 오뚜기밥","0mg","""나에게 딱 맞춘 식감만족 밥으로 찾은 인생밥맛!밥알이 알알이 씹히는 꼬들꼬들한 된밥국물, 볶음밥 요리를 즐기시는 분들께""","2.4g","https://ottogi.co.kr/pds/product/2022-07-21_76684117[5].jpg","210g","식감만족 고슬고슬 된밥","0g","0g","210g","6g","71g","0.8g","""쌀(국산), 산도조절제"""
"1024","68kcal","7610mg","조미소스/식품 > 이금기소스","0mg","'- 전통 발효 노하우로 만든 100% 양조간장 (6개월 숙성발효)- NON-GMO 콩 사용(농장에서 부터 직접 관리한 우량 콩 사용)- 총 질소함량(T.N) 1.5% 이상 특급 품질 간장- 200여 항목의 정기 점검과 900여 항목의 품질 및 안전검사를 통과한 믿을 수 있는 제품- 순수한 고활력 누룩을 사용하여 색이 진하고 아로마향이 풍부- 최첨단 누룩 제조기술 사용(일정하게 우수한 품질)","0g","https://ottogi.co.kr/pds/product/2017-05-18_693220011[15].jpg","","팬더양조간장","2g","0g","""1.7L, 12.6L""","10g","7g","0g","""정제수, 탈지대두, 정제소금, 밀가루대두, 밀 함유"""
"2010","375kcal","970mg","레토르트/간편식 > 3분","60mg","""상상 속 맛의 신세계, <오즈키친>언제 어디서나 간편하게, 미식을 즐기고 싶은 사람들의 소원을 이루어주는 신비한 부엌. 정성을 가득 담아 맛있게 만든 <오즈키친>으로 행복한 하루뉴질랜드산 쇠고기와 제주산 돼지고기로 만든 홈메이드 스타일의 미트볼에 신선한 토마토 풍미가 듬뿍!Secret Recipe 1. 상큼한 토마토 소스와 양송이 듬뿍Secret Recipe 2. 뉴질랜드산 쇠고기와 제주산 돼지고기의 육즙 가득한 조화Secret Recipe 3. 홈메이드 스타일로 미트볼 중량 35% UP! (당사 3분 미트볼 대비)""","17g","https://ottogi.co.kr/pds/product/2020-08-26_773190637[8].png","1회 제공량 250g당 함량","오즈키친 토마토 미트볼 250g","18g","0.5미만g","250g (1인분)","30g","25g","6g","""쇠고기(뉴질랜드산), 돼지고기(제주산), 다이스토마토(미국산:토마토, 토마토주스, 구연산, 염화칼슘), 정제수, 양송이슬라이스(양송이, 정제소금, 구연산), 콘센트레이티드크러쉬드토마토, 양파, 설탕, 마늘, 빵가루, 조직대두단백, 옥수수유, 식물성유지, 변성전분, 샐러리, 정제소금, 농축대두단백, 쇠고기다시, 후추분, L-글루탐산나트륨(향미증진제), 혼합제제(폴리인산나트륨, 피로인산나트륨, 메타인산나트륨), 향미증진제, 골드브라운하이스, 구연산, 영양강화제, 효모추출물, 합성향료(숯불구이향), 잔탄검, 천연향신료1, 천연향신료2, 바질, 파프리카추출색소, 오레가노, 덱스트린"""
"1614","30kcal","420mg","분말/건조식품 > 밥친구","5mg","""1. 오뚜기 밥친구 카레 1개(8g)에는 카레, 당근, 시금치, 참깨, 김, 다랑어에 칼슘까지 들어 있어 우리아이에게 좋습니다. (칼슘 105mg 첨가)  2. 오뚜기 밥친구는 8g 소포장으로 되어 있어 밥을 간편하고 맛있게 드실 수 있습니다.  3. 밥에 바로 뿌리거나, 비벼서 바로 먹을 수 있으며, 주먹밥, 유부 초밥, 김밥 등을 만들어 드실 수 있습니다.""","0.6g","https://ottogi.co.kr/pds/product/prod_img01_09_04.jpg","Per Serving 8g","COOKED RICE (CURRY)","1g","0g","24g(Serves3)","2g","4g","0g",""
